-200.0000     3.7727
-300.0000     3.7553
2013/07/16 12:00:00  18 2
  -0.0000    12.6994
  -5.0000    12.5565
 -10.0000    12.3726
 -14.0000    12.2213
 -17.0000    11.9003
 -20.0000    11.5794
 -25.0000    10.5252
 -30.0000     9.7106
 -37.0000     8.6211
 -45.0000     7.3758
 -60.0000     5.9845
 -80.0000     5.4919
-100.0000     5.1300
-120.0000     4.9152
-150.0000     4.2790
-175.0000     4.0342
-200.0000     3.8819
-300.0000     3.7874
2013/08/16 12:00:00  18 2
  -0.0000    14.8784
  -5.0000    14.8135
 -10.0000    14.7723
 -14.0000    14.6710
 -17.0000    14.1768
 -20.0000    13.6826
 -25.0000    11.2945
 -30.0000     9.6858
 -37.0000     8.6290
 -45.0000     7.4213
 -60.0000     5.7206
 -80.0000     5.1542
-100.0000     4.8203
-120.0000     4.5632
-150.0000     4.0265
-175.0000     3.8058
-200.0000     3.7374
-300.0000     3.7290
2013/09/16 12:00:00  18 2
  -0.0000    14.0173
  -5.0000    14.0120
 -10.0000    14.0030
 -14.0000    13.9913
 -17.0000    13.9153
 -20.0000    13.8393
 -25.0000    12.7967
 -30.0000    11.2937
 -37.0000     9.9848
 -45.0000     8.4890
 -60.0000     5.9787
 -80.0000     5.1010
-100.0000     4.7617
-120.0000     4.5260
-150.0000     4.3700
-175.0000     4.1877
-200.0000     3.9827
-300.0000     3.8183
2013/10/16 12:00:00  18 2
  -0.0000    10.8052
  -5.0000    10.8029
 -10.0000    10.8010
 -14.0000    10.7994
 -17.0000    10.7979
 -20.0000    10.7965
 -25.0000    10.7919
 -30.0000    10.7848
 -37.0000    10.7487
 -45.0000    10.7074
 -60.0000     8.9042
 -80.0000     5.3300
-100.0000     4.8748
-120.0000     4.5810
-150.0000     4.1652
-175.0000     3.9668
-200.0000     3.8461
-300.0000     3.7352
2013/11/16 12:00:00  18 2
  -0.0000    10.3577
  -5.0000    10.3607
 -10.0000    10.3583
 -14.0000    10.3593
 -17.0000    10.3595
 -20.0000    10.3597
 -25.0000    10.3597
 -30.0000    10.3607
 -37.0000    10.3569
 -45.0000    10.3527
 -60.0000     9.9407
 -80.0000     6.2837
-100.0000     5.2217
-120.0000     4.8393
-150.0000     4.4247
-175.0000     4.0447
-200.0000     3.8333
-300.0000     3.7523
2013/12/16 12:00:00  18 2
  -0.0000     9.4910
  -5.0000     9.4929
 -10.0000     9.4890
 -14.0000     9.4890
 -17.0000     9.4889
 -20.0000     9.4887
 -25.0000     9.4884
 -30.0000     9.4861
 -37.0000     9.4831
 -45.0000     9.4797
 -60.0000     9.4658
 -80.0000     8.1974
-100.0000     5.5613
-120.0000     5.0439
-150.0000     4.6865
-175.0000     4.3484
-200.0000     4.1616
-300.0000     3.8342
2014/01/16 12:00:00  18 2
  -0.0000     8.9219
  -5.0000     8.9242
 -10.0000     8.9197
 -14.0000     8.9210
 -17.0000     8.9211
 -20.0000     8.9213
 -25.0000     8.9206
 -30.0000     8.9200
 -37.0000     8.9173
 -45.0000     8.9142
 -60.0000     8.9003
 -80.0000     8.6819
-100.0000     6.3732
-120.0000     5.0816
-150.0000     4.6819
-175.0000     4.3200
-200.0000     4.0668
-300.0000     3.8010
2014/02/15 12:00:00  18 2
  -0.0000     8.4779
  -5.0000     8.4829
 -10.0000     8.4775
 -14.0000     8.4779
 -17.0000     8.4782
 -20.0000     8.4786
 -25.0000     8.4779
 -30.0000     8.4768
 -37.0000     8.4743
 -45.0000     8.4714
 -60.0000     8.4625
 -80.0000     8.4411
-100.0000     6.6682
-120.0000     5.1229
-150.0000     4.8289
-175.0000     4.7082
-200.0000     4.5200
-300.0000     3.9511
2014/03/16 12:00:00  18 2
  -0.0000     8.0206
  -5.0000     8.0181
 -10.0000     8.0110
 -14.0000     8.0110
 -17.0000     8.0106
 -20.0000     8.0103
 -25.0000     8.0084
 -30.0000     8.0074
 -37.0000     8.0061
 -45.0000     8.0045
 -60.0000     7.9990
 -80.0000     7.9755
-100.0000     6.6806
-120.0000     5.1635
-150.0000     4.8616
-175.0000     4.6639
-200.0000     4.4468
-300.0000     3.9423
2014/04/16 12:00:00  18 2
  -0.0000     8.0710
  -5.0000     8.0570
 -10.0000     8.0383
 -14.0000     8.0310
 -17.0000     8.0267
 -20.0000     8.0223
 -25.0000     8.0160
 -30.0000     8.0097
 -37.0000     8.0022
 -45.0000     7.9937
 -60.0000     7.9730
 -80.0000     7.8907
-100.0000     6.5753
-120.0000     5.1903
-150.0000     4.8500
-175.0000     4.5947
-200.0000     4.3013
-300.0000     3.8733
2014/05/16 12:00:00  18 2
  -0.0000     9.0394
  -5.0000     9.0142
 -10.0000     8.9597
 -14.0000     8.9039
 -17.0000     8.8282
 -20.0000     8.7526
 -25.0000     8.6016
 -30.0000     8.4313
 -37.0000     8.3182
 -45.0000     8.1890
 -60.0000     7.9619
 -80.0000     7.5852
-100.0000     5.8087
-120.0000     5.0277
-150.0000     4.7955
-175.0000     4.4855
-200.0000     4.2145
-300.0000     3.8474
2014/06/16 12:00:00  18 2
  -0.0000    10.6030
  -5.0000    10.5673
 -10.0000    10.5193
 -14.0000    10.4613
 -17.0000    10.4143
 -20.0000    10.3673
 -25.0000    10.2313
 -30.0000     9.8953
 -37.0000     9.1414
 -45.0000     8.2797
 -60.0000     7.8267
 -80.0000     7.3107
-100.0000     5.6337
-120.0000     4.8600
-150.0000     4.6940
-175.0000     4.4520
-200.0000     4.2080
-300.0000     3.8233
2014/07/16 12:00:00  18 2
  -0.0000    12.6629
  -5.0000    12.5419
 -10.0000    12.4358
 -14.0000    12.3781
 -17.0000    12.3221
 -20.0000    12.2661
 -25.0000    12.1465
 -30.0000    11.7781
 -37.0000    10.2177
 -45.0000     8.4884
 -60.0000     7.7661
 -80.0000     7.1945
-100.0000     5.7794
-120.0000     4.8639
-150.0000     4.5358
-175.0000     4.3929
-200.0000     4.1835
-300.0000     3.8003
2014/08/16 12:00:00  18 2
  -0.0000    14.3990
  -5.0000    14.3813
 -10.0000    14.3439
 -14.0000    14.3035
 -17.0000    14.2503
 -20.0000    14.1971
 -25.0000    13.9113
 -30.0000    13.0197
 -37.0000    10.7552
 -45.0000     8.7974
 -60.0000     7.7368
 -80.0000     7.2274
-100.0000     5.8784
-120.0000     4.8229
-150.0000     4.2910
-175.0000     4.0981
-200.0000     3.9506
-300.0000     3.7239
2014/09/16 12:00:00  18 2
  -0.0000    15.2163
  -5.0000    15.1917
 -10.0000    15.1623
 -14.0000    15.1377
 -17.0000    15.1060
 -20.0000    15.0743
 -25.0000    14.9563
 -30.0000    14.7023
 -37.0000    13.2690
 -45.0000    10.2170
 -60.0000     8.0250
 -80.0000     7.2827
-100.0000     6.0057
-120.0000     4.9450
-150.0000     4.2947
-175.0000     4.0910
-200.0000     3.9153
-300.0000     3.7230
2014/10/16 12:00:00  18 2
  -0.0000    13.0229
  -5.0000    13.0277
 -10.0000    13.0265
 -14.0000    13.0261
 -17.0000    13.0258
 -20.0000    13.0255
 -25.0000    13.0248
 -30.0000    13.0226
 -37.0000    13.0139
 -45.0000    12.4694
 -60.0000     8.0765
 -80.0000     7.1129
-100.0000     6.0377
-120.0000     4.9410
-150.0000     4.2532
-175.0000     4.0248
-200.0000     3.8655
-300.0000     3.7284
2014/11/16 12:00:00  18 2
  -0.0000    10.3767
  -5.0000    10.3807
 -10.0000    10.3803
 -14.0000    10.3803
 -17.0000    10.3802
 -20.0000    10.3800
 -25.0000    10.3787
 -30.0000    10.3763
 -37.0000    10.3710
 -45.0000    10.3607
 -60.0000     9.4243
 -80.0000     7.1950
-100.0000     6.0803
-120.0000     4.9860
-150.0000     4.2587
-175.0000     4.0057
-200.0000     3.8443
-300.0000     3.7053
2014/12/16 12:00:00  18 2
  -0.0000     8.9523
  -5.0000     8.9558
 -10.0000     8.9558
 -14.0000     8.9565
 -17.0000     8.9568
 -20.0000     8.9571
 -25.0000     8.9568
 -30.0000     8.9545
 -37.0000     8.9526
 -45.0000     8.9494
 -60.0000     8.8313
 -80.0000     6.8503
-100.0000     5.6013
-120.0000     4.7842
-150.0000     4.2097
-175.0000     3.9516
-200.0000     3.8052
-300.0000     3.6897
2015/01/16 12:00:00  18 2
  -0.0000     7.9235
  -5.0000     7.9255
 -10.0000     7.9245
 -14.0000     7.9239
 -17.0000     7.9237
 -20.0000     7.9236
 -25.0000     7.9216
 -30.0000     7.9206
 -37.0000     7.9177
 -45.0000     7.9148
 -60.0000     7.9032
 -80.0000     6.8310
-100.0000     5.1816
-120.0000     4.5097
-150.0000     4.0884
-175.0000     3.9097
-200.0000     3.8187
-300.0000     3.7529
2015/02/15 12:00:00  18 2
  -0.0000     7.7518
  -5.0000     7.7511
 -10.0000     7.7489
 -14.0000     7.7454
 -17.0000     7.7427
 -20.0000     7.7400
 -25.0000     7.7364
 -30.0000     7.7339
 -37.0000     7.7289
 -45.0000     7.7236
 -60.0000     7.7050
 -80.0000     7.3936
-100.0000     5.5179
-120.0000     4.7329
-150.0000     4.2289
-175.0000     4.0011
-200.0000     3.8536
-300.0000     3.7607
2015/03/16 12:00:00  18 2
  -0.0000     7.7252
  -5.0000     7.7245
 -10.0000     7.7174
 -14.0000     7.7132
 -17.0000     7.7103
 -20.0000     7.7074
 -25.0000     7.7006
 -30.0000     7.6919
 -37.0000     7.6784
 -45.0000     7.7012
 -60.0000     7.5948
 -80.0000     6.7868
-100.0000     5.4174
-120.0000     4.8490
-150.0000     4.3842
-175.0000     4.1406
-200.0000     3.9797
-300.0000     3.7945
2015/04/16 12:00:00  18 2
  -0.0000     7.5603
  -5.0000     7.5627
 -10.0000     7.5617
 -14.0000     7.5607
 -17.0000     7.5597
 -20.0000     7.5587
 -25.0000     7.5560
 -30.0000     7.5543
 -37.0000     7.5520
 -45.0000     7.5475
 -60.0000     7.5390
 -80.0000     7.2230
-100.0000     5.4693
-120.0000     4.7633
-150.0000     4.3287
-175.0000     4.0963
-200.0000     3.9500
-300.0000     3.7697
2015/05/16 12:00:00  18 2
  -0.0000     8.5971
  -5.0000     8.5284
 -10.0000     8.4245
 -14.0000     8.2819
 -17.0000     8.1927
 -20.0000     8.1035
 -25.0000     8.0277
 -30.0000     7.9626
 -37.0000     7.8894
 -45.0000     7.7945
 -60.0000     7.6168
 -80.0000     7.1529
-100.0000     5.6984
-120.0000     5.0568
-150.0000     4.5790
-175.0000     4.2813
-200.0000     4.0913
-300.0000     3.8416
2015/06/16 12:00:00  18 2
  -0.0000    10.7720
  -5.0000    10.7467
 -10.0000    10.6553
 -14.0000    10.5523
 -17.0000    10.4053
 -20.0000    10.2583
 -25.0000     9.5827
 -30.0000     8.6320
 -37.0000     7.7767
 -45.0000     7.4160
 -60.0000     7.0853
 -80.0000     6.6423
-100.0000     5.7103
-120.0000     5.3203
-150.0000     4.8267
-175.0000     4.4813
-200.0000     4.2933
-300.0000     3.9760
2015/07/16 12:00:00  18 2
  -0.0000    13.1929
  -5.0000    13.1832
 -10.0000    13.1581
 -14.0000    13.1326
 -17.0000    12.9834
 -20.0000    12.8342
 -25.0000    11.8784
 -30.0000    10.3294
 -37.0000     8.4139
 -45.0000     7.6090
 -60.0000     7.0848
