-100.  33.3516121
-120.  33.6398697
-150.  33.7088699
-200.  33.7630081
2015/06/16 12:00:00  14 2
 0.  32.5575294
-10.  32.5516624
-14.  32.5763359
-20.  32.5611992
-25.  32.5512314
-30.  32.5565033
-37.  32.5838699
-45.  32.6086655
-60.  32.6046638
-80.  32.6772995
-100.  33.4022675
-120.  33.6842308
-150.  33.7308044
-200.  33.7776337
2015/07/16 12:00:00  14 2
 0.  32.4879074
-10.  32.4863205
-14.  32.4928398
-20.  32.4984894
-25.  32.4824829
-30.  32.5022545
-37.  32.5523847
-45.  32.6096764
-60.  32.6182327
-80.  32.6728706
-100.  33.2734795
-120.  33.6631279
-150.  33.7487717
-200.  33.7840042
2015/08/16 12:00:00  14 2
 0.  32.3495178
-10.  32.3515282
-14.  32.3600922
-20.  32.3680267
-25.  32.3867760
-30.  32.4474182
-37.  32.5385373
-45.  32.6426735
-60.  32.6760635
-80.  32.7336769
-100.  33.0558357
-120.  33.5765762
-150.  33.7430992
-200.  33.7840652
2015/09/16 12:00:00  14 2
 0.  32.3686333
-10.  32.3717286
-14.  32.3729668
-20.  32.3708000
-25.  32.3695030
-30.  32.3671989
-37.  32.4323753
-45.  32.5068626
-60.  32.6404648
-80.  32.7367020
-100.  33.1452675
-120.  33.6059341
-150.  33.7526016
-200.  33.7983322
2015/10/16 12:00:00  14 2
 0.  32.4606133
-10.  32.4634470
-14.  32.4645805
-20.  32.4587746
-25.  32.4616814
-30.  32.4613876
-37.  32.4655266
-45.  32.4702568
-60.  32.6434517
-80.  32.7839928
-100.  33.0162582
-120.  33.5328751
-150.  33.7436485
-200.  33.7929039
2015/11/16 12:00:00  14 2
 0.  32.4972343
-10.  32.4981144
-14.  32.4984665
-20.  32.4925346
-25.  32.4944344
-30.  32.4942017
-37.  32.4945114
-45.  32.4948654
-60.  32.5115623
-80.  32.7604294
-100.  33.0348969
-120.  33.5564308
-150.  33.7498322
-200.  33.7886391
2015/12/16 12:00:00  14 2
 0.  32.5577469
-10.  32.5609267
-14.  32.5621986
-20.  32.5555191
-25.  32.5575142
-30.  32.5575142
-37.  32.5579824
-45.  32.5585175
-60.  32.5569992
-80.  32.6325493
-100.  32.9362259
-120.  33.4571609
-150.  33.7294846
-200.  33.7821312
2016/01/16 12:00:00  14 2
 0.  32.5959320
-10.  32.5993407
-14.  32.6007042
-20.  32.5935173
-25.  32.5955124
-30.  32.5955162
-37.  32.5960147
-45.  32.5965843
-60.  32.5947723
-80.  32.5975494
-100.  32.7128067
-120.  33.3304482
-150.  33.7074890
-200.  33.7767105
2016/02/15 12:00:00  14 2
 0.  32.6440735
-10.  32.6487983
-14.  32.6506882
-20.  32.6464157
-25.  32.6451759
-30.  32.6454811
-37.  32.6457392
-45.  32.6460342
-60.  32.6465874
-80.  32.6531029
-100.  32.8798943
-120.  33.5147972
-150.  33.7475204
-200.  33.8016548
2016/03/16 12:00:00  14 2
 0.  32.7096748
-10.  32.7138465
-14.  32.7155151
-20.  32.7196770
-25.  32.7093544
-30.  32.7096786
-37.  32.7096849
-45.  32.7096920
-60.  32.7097054
-80.  32.7136459
-100.  33.1036491
-120.  33.6640625
-150.  33.7779083
-200.  33.8267403
